id,name,description,created_at,updated_at
1,Equipment,Costs related to equipment purchase and maintenance,2025-05-02 11:06:16,2025-05-02 11:06:16
2,Utilities,"Utility costs including electricity, water, etc.",2025-05-02 11:06:16,2025-05-02 11:06:16
3,Materials,Materials used in production process,2025-05-02 11:06:16,2025-05-02 11:06:16
4,Labor,Labor costs,2025-05-02 11:06:16,2025-05-02 11:06:16
5,Rent,Rent and property-related costs,2025-05-02 11:06:16,2025-05-02 11:06:16
6,Software,Software and digital services,2025-05-02 11:06:16,2025-05-02 11:06:16
7,Other,Miscellaneous business costs,2025-05-02 11:06:16,2025-05-02 11:06:16
